Filepath,Id,Ligand_state,SMILES,Error
PDB_URV_DATABASE/Ligand_sdf/7M8N_ligand.sdf,7M8N,valid,[H]c1nc([H])c(-n2c([H])c(-c3c([H])n([H])c(=O)n([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])c4c([H])c([H])c([H])c([H])c4C([H])([H])[H])c3[H])c2=O)c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M8O_ligand.sdf,7M8O,valid,[H]C1=NC(=O)N([H])C(=O)[C]1c1c([H])c(-c2c([H])c(Cl)c([H])c(OC([H])([H])c3c([H])c([H])c([H])c(F)c3[H])c2[H])c(=O)n(-c2c([H])nc([H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M8P_ligand.sdf,7M8P,valid,[H]C1=NC(=O)N([H])C(=O)[C]1c1c([H])c(-c2c([H])c(Cl)c(F)c(OC([H])([H])c3c([H])c([H])c([H])c([H])c3Cl)c2[H])c(=O)n(-c2c([H])nc([H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M8X_ligand.sdf,7M8X,valid,[H]c1nc([H])c(-n2c([H])c(-c3c([H])c([H])c([H])c([H])c3C#N)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])OC([H])([H])[H])c3[H])c2=O)c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M8Y_ligand.sdf,7M8Y,valid,[H]C1=NC(=O)N([H])C(=O)[C]1c1c([H])c(-c2c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c2[H])c(=O)n(-c2c([H])nc([H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M8Z_ligand.sdf,7M8Z,valid,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])Oc1c([H])c(Cl)c([H])c(-c2c([H])c(-c3c([H])n([H])c(=O)n([H])c3=O)c([H])n(-c3c([H])nc([H])c([H])c3[H])c2=O)c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M90_ligand.sdf,7M90,valid,[H]C1=NC(=O)N([H])C(=O)[C]1c1c([H])c(-c2c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])N3C([H])([H])C(=O)N([H])C([H])([H])C3([H])[H])c2[H])c(=O)n(-c2c([H])nc([H])c([H])c2[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7M91_ligand.sdf,7M91,valid,[H]c1nc([H])c(-n2c([H])c(-c3c([H])n([H])c(=O)n([H])c3=O)c([H])c(-c3c([H])c(Cl)c([H])c(OC([H])([H])C([H])([H])C(F)(F)F)c3[H])c2=O)c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7N44_ligand.sdf,7N44,valid,[H]c1nc(C([H])([H])Oc2c([H])c(Cl)c([H])c(-c3c([H])c(-c4c([H])n([H])c(=O)n([H])c4=O)c([H])n(-c4c([H])nc([H])c([H])c4[H])c3=O)c2[H])c(C([H])([H])[H])s1,
PDB_URV_DATABASE/Ligand_sdf/7N8C_ligand.sdf,7N8C,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(Cl)c(Cl)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7NT3_ligand.sdf,7NT3,valid,[H]Oc1c([H])c([H])c([H])c([C@@]([H])(C(=O)N([H])C([H])([H])c2c([H])c([H])c3c(c2[H])OC([H])([H])O3)N(C(=O)C([H])=C([H])[H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7O46_ligand.sdf,7O46,valid,[H]c1nc([H])c2c([H])c([H])c([H])c([H])c2c1N1C(=O)N([H])[C@]2(C1=O)C([H])([H])[C@@]([H])(C1([H])C([H])([H])C([H])([H])C1([H])[H])C2([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7P2G_ligand.sdf,7P2G,valid,[H]c1c([H])c([H])c2c(c1[H])N([H])C(=O)C([H])([H])[C@@]2([H])C(=O)N([H])c1c([H])c([H])c(I)c([H])c1[H],
PDB_URV_DATABASE/Ligand_sdf/7QBB_ligand.sdf,7QBB,valid,[H]c1nc([H])c2c([H])c([H])c([H])c([H])c2c1N1C(=O)N([H])[C@]2(C1=O)C([H])([H])[C@]([H])(c1c([H])c([H])c([H])c([H])c1[H])C2([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RLS_ligand.sdf,7RLS,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c(Cl)c(Cl)c(Cl)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RM2_ligand.sdf,7RM2,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c(Cl)c(C([H])([H])[H])c(Cl)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RMB_ligand.sdf,7RMB,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(Br)c(Cl)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RME_ligand.sdf,7RME,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(Cl)c(C(F)(F)F)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RMT_ligand.sdf,7RMT,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(C([H])=O)c(Cl)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RMZ_ligand.sdf,7RMZ,valid,[H][C]1C(=O)N([H])C(=O)N=C1C(=O)N1C([H])([H])C([H])([H])N(c2c([H])c([H])c(C(F)(F)F)c(Cl)c2[H])C([H])([H])C1([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7RN4_ligand.sdf,7RN4,valid,[H]c1c([H])c(C2([H])C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)n([H])c(=O)n3[H])C([H])([H])C2([H])[H])c([H])c(Cl)c1Cl,
PDB_URV_DATABASE/Ligand_sdf/7RNH_ligand.sdf,7RNH,valid,[H]c1c([H])c(N2C([H])([H])C([H])([H])N(C(=O)c3c([H])c(=O)n([H])c(=O)n3[H])C([H])([H])C2([H])[H])c([H])c([H])c1Cl,
PDB_URV_DATABASE/Ligand_sdf/7RNK_ligand.sdf,7RNK,valid,[H]OC([H])([H])c1c([H])c([H])c(N2C([H])([H])C([H])([H])N(C(=O)C3=NC(=O)N([H])C(=O)[C]3[H])C([H])([H])C2([H])[H])c([H])c1Cl,
PDB_URV_DATABASE/Ligand_sdf/7S4B_ligand.sdf,7S4B,valid,[H]c1nc([H])c2c([H])c([H])c([H])c([H])c2c1N([H])C(=O)[C@@]([H])(c1c([H])c([H])c([H])c(F)c1[H])C([H])([H])[H],
PDB_URV_DATABASE/Ligand_sdf/7TVX_ligand.sdf,7TVX,valid,[H]c1nc([H])c(-c2nc(N([H])c3c([H])c(N([H])C(=O)c4c([H])c([H])c(C([H])([H])[N+]5([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C5([H])[H])c([H])c4[H])c([H])c([H])c3C([H])([H])[H])sc2[H])c([H])c1[H],
